State,# of Votes,Winner,Clinton,Trump
Alabama,9,R,307,231
Alaska,3,R,,
Arizona,11,R,,
Arkansas,6,R,,
California,55,D,,
Colorado,9,D,,
Connecticut,7,D,,
Delaware,3,D,,
District of Columbia,3,D,,
Florida,29,D,,
Georgia,16,R,,
Hawaii,4,D,,
Idaho,4,R,,
Illinois,20,D,,
Indiana,11,R,,
Iowa,6,R,,
Kansas,6,R,,
Kentucky,8,R,,
Louisiana,8,R,,
Maine,4,D,,
Maryland,10,D,,
Massachusetts,11,D,,
Michigan,16,D,,
Minnesota,10,D,,
Mississippi,6,R,,
Missouri,10,R,,
Montana,3,R,,
Nebraska,5,R,,
Nevada,6,D,,
New Hampshire,4,D,,
New Jersey,14,D,,
New Mexico,5,D,,
New York,29,D,,
North Carolina,15,D,,
North Dakota,3,R,,
Ohio,18,R,,
Oklahoma,7,R,,
Oregon,7,D,,
Pennsylvania,20,R,,
Rhode Island,4,D,,
South Carolina,9,R,,
South Dakota,3,R,,
Tennessee,11,R,,
Texas,38,R,,
Utah,6,R,,
Vermont,3,D,,
Virginia,13,D,,
Washington,12,D,,
West Virginia,5,R,,
Wisconsin,10,D,,
Wyoming,3,R,,
