YEAR,COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,WINNER,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
2004,Atlantic,55746,49487,864,52.54,46.64,0.81,106097,Democrat,39.88,129156,136859,48.55,51.45,266015,35055
2004,Bergen,207666,189833,2745,51.88,47.43,0.69,400244,Democrat,44.96,430968,459264,48.41,51.59,890232,55322
2004,Burlington,110411,95936,1609,53.09,46.13,0.77,207956,Democrat,46.62,220615,225426,49.46,50.54,446041,40901
2004,Camden,137765,81427,1741,62.36,36.86,0.79,220933,Democrat,43.09,248185,264525,48.41,51.59,512710,35957
2004,Cape May,21475,28832,455,42.31,56.8,0.9,50762,Republican,50.8,48021,51899,48.06,51.94,99920,40007
2004,Cumberland,27875,24362,948,52.41,45.81,1.78,53185,Democrat,35.4,77019,73208,51.27,48.73,150227,27962
2004,Essex,203681,83374,2293,70.39,28.81,0.79,289348,Democrat,36.84,376312,409077,47.91,52.09,785389,42058
2004,Gloucester,66835,60033,1096,52.23,46.91,0.86,127964,Democrat,46.87,132643,140377,48.58,51.42,273020,34143
2004,Hudson,127447,60646,1353,67.27,32.01,0.71,189446,Democrat,31.58,296116,303813,49.36,50.64,599929,33435
2004,Hunterdon,26050,39888,742,39.07,59.82,1.11,66680,Republican,52.02,63678,64492,49.68,50.32,128170,60457
2004,Mercer,91580,56604,1326,61.25,37.86,0.89,149510,Democrat,41.39,181910,179315,50.36,49.64,361225,45003
2004,Middlesex,166628,126492,2685,56.33,42.76,0.91,295805,Democrat,38.21,411739,362470,53.18,46.82,774209,40506
2004,Monmouth,133773,163650,2516,44.6,54.56,0.84,299939,Republican,46.87,306091,333896,47.83,52.17,639987,48528
2004,Morris,98066,135241,1847,41.7,57.51,0.79,235154,Republican,48.77,244890,237265,50.79,49.21,482155,60234
2004,Ocean,99839,154204,2263,38.95,60.16,0.88,256306,Republican,46.45,282090,269708,51.12,48.88,551798,34785
2004,Passaic,94962,75200,1149,55.43,43.9,0.67,171311,Democrat,34.92,247881,242646,50.53,49.47,490527,34215
2004,Salem,13749,15721,311,46.17,52.79,1.04,29781,Republican,45.88,31499,33415,48.52,51.48,64914,33302
2004,Somerset,66476,72508,1295,47.39,51.69,0.92,140279,Republican,44.92,161984,150335,51.86,48.14,312319,61059
2004,Sussex,23990,44506,900,34.57,64.13,1.3,69396,Republican,46.15,71945,78415,47.85,52.15,150360,41795
2004,Union,119372,82517,1498,58.69,40.57,0.74,203387,Democrat,38.84,269734,253901,51.51,48.49,523635,43334
2004,Warren,18044,29542,622,37.43,61.28,1.29,48208,Republican,44.33,52137,56611,47.94,52.06,108748,36746
2004,Statewide,1911430,1670003,30258,50.77,48.31,0.93,3611691,Democrat,41.94,4284613,4326917,49.75,50.25,8611530,43117
2008,Atlantic,67830,49902,1157,57.05,41.97,0.97,118889,Democrat,43.93,131622,138987,48.64,51.36,270609,39709
2008,Bergen,225367,186118,4424,54.19,44.75,1.06,415909,Democrat,46.74,433344,456571,48.69,51.31,889915,67375
2008,Burlington,131219,89626,2930,58.64,40.05,1.31,223775,Democrat,50.23,220905,224587,49.59,50.41,445492,47985
2008,Camden,159259,68317,3304,68.98,29.59,1.43,230880,Democrat,44.59,251317,266422,48.54,51.46,517739,42260
2008,Cape May,22893,27288,802,44.9,53.52,1.57,50983,Republican,52.85,46395,50075,48.09,51.91,96470,47398
2008,Cumberland,34919,22360,915,60,38.42,1.57,58194,Democrat,37.12,81009,75775,51.67,48.33,156784,32735
2008,Essex,240306,73975,2181,75.94,23.38,0.69,316462,Democrat,41.26,370039,397036,48.24,51.76,767075,51039
2008,Gloucester,77267,60315,2364,55.21,43.1,1.69,139946,Democrat,48.56,140511,147657,48.76,51.24,288168,40898
2008,Hudson,154140,52354,2116,73.89,25.1,1.01,208610,Democrat,35.23,293539,298572,49.57,50.43,592111,43464
2008,Hunterdon,29776,39092,1147,42.53,55.83,1.64,70015,Republican,53.94,64920,64886,50.01,49.99,129806,68827
2008,Mercer,107926,50397,2229,67.22,31.39,1.39,160552,Democrat,44.04,179505,185066,49.24,50.76,364571,52752
2008,Middlesex,193812,122586,4367,60.42,38.22,1.36,320765,Democrat,40.84,387945,397379,49.4,50.6,785324,49036
2008,Monmouth,148737,160433,4244,47.46,51.19,1.35,313414,Republican,48.83,314756,327108,49.04,50.96,641864,59079
2008,Morris,112275,132331,2913,45.36,53.46,1.18,247519,Republican,50.83,240673,246273,49.42,50.58,486946,71990
2008,Ocean,110189,160677,4111,40.07,58.43,1.5,274977,Republican,48.27,272938,296724,47.91,52.09,569662,41275
2008,Passaic,113257,71850,1904,60.56,38.42,1.02,187011,Democrat,38.29,238314,250050,48.8,51.2,488364,41658
2008,Salem,16044,14816,672,50.88,46.99,2.13,31532,Democrat,47.64,32227,33967,48.69,51.31,66194,39254
2008,Somerset,79321,70085,2024,52.38,46.28,1.34,151430,Democrat,46.86,159714,163446,49.42,50.58,323160,73126
2008,Sussex,28840,44184,1393,38.75,59.37,1.87,74417,Republican,49.14,75427,76004,49.81,50.19,151431,49743
2008,Union,141417,78768,2241,63.58,35.41,1.01,222426,Democrat,42.63,254792,267024,48.83,51.17,521816,51651
2008,Warren,20628,27500,980,42.01,56,2,49108,Republican,44.69,53881,56016,49.03,50.97,109897,44079
2008,Statewide,2215422,1602974,48418,57.29,41.45,1.25,3866814,Democrat,44.63,4243773,4419625,48.99,51.01,8663398,51831
2012,Atlantic,65600,46522,1057,57.96,41.1,0.05,113179,Democrat,41.09,133574,141848,48.5,51.5,275422,42099
2012,Bergen,212754,169070,3583,55.2,43.87,0.01,385407,Democrat,41.94,444574,474314,48.38,51.62,918888,69919
2012,Burlington,126377,87401,2158,58.53,40.48,0.03,215936,Democrat,47.84,221948,229388,49.18,50.82,451336,51079
2012,Camden,153682,69476,2270,68.17,30.82,0.03,225428,Democrat,43.9,247813,265726,48.26,51.74,513539,45540
2012,Cape May,21657,25781,493,45.18,53.79,0.09,47931,Republican,49.77,46971,49333,48.77,51.23,96304,52276
2012,Cumberland,34055,20658,579,61.59,37.36,0.11,55292,Democrat,35.04,81331,76454,51.55,48.45,157785,36551
2012,Essex,236618,64406,1995,78.09,21.25,0.03,303019,Democrat,38.47,378171,409573,48.01,51.99,787744,54879
2012,Gloucester,74013,59456,1734,54.74,43.98,0.04,135203,Democrat,46.69,140656,148930,48.57,51.43,289586,44868
2012,Hudson,153108,42369,2027,77.52,21.45,0.04,197504,Democrat,30.28,326070,326232,49.99,50.01,652302,50033
2012,Hunterdon,26876,38687,931,40.42,58.18,0.06,66494,Republican,52.33,62553,64517,49.23,50.77,127070,72131
2012,Mercer,104377,47355,1779,67.99,30.85,0.04,153511,Democrat,41.68,180646,187657,49.05,50.95,368303,55714
2012,Middlesex,190555,107310,3450,63.24,35.61,0.02,301315,Democrat,36.61,405437,417604,49.26,50.74,823041,52108
2012,Monmouth,133145,147513,3320,46.89,51.95,0.02,283978,Republican,45.12,306121,323263,48.64,51.36,629384,61426
2012,Morris,100146,124947,2299,44.04,54.95,0.02,227392,Republican,45.66,243641,254358,48.92,51.08,497999,74057
2012,Ocean,102300,146474,2499,40.71,58.29,0.02,251273,Republican,43.29,278726,301744,48.02,51.98,580470,43200
2012,Passaic,115926,64523,1539,63.7,35.45,0.04,181988,Democrat,36.19,245698,257187,48.86,51.14,502885,44900
2012,Salem,14719,14334,448,49.89,48.59,0.17,29501,Democrat,44.85,31999,33775,48.65,51.35,65774,42350
2012,Somerset,74592,66603,1726,52.19,46.6,0.04,142921,Democrat,43.61,160298,167409,48.92,51.08,327707,75863
2012,Sussex,26104,40625,1204,38.43,59.8,0.06,67933,Republican,46.07,72973,74469,49.49,50.51,147442,52105
2012,Union,139752,68314,1765,66.6,32.56,0.03,209831,Democrat,38.57,264902,279074,48.7,51.3,543976,53816
2012,Warren,18745,25744,781,41.41,56.87,0.09,45270,Republican,42.05,52359,55294,48.64,51.36,107653,47570
2012,Statewide,2125101,1477568,37637,58.38,40.59,1.03,3640306,Democrat,41.07,4326461,4538149,48.81,51.19,8864610,54987
