COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,WINNER,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
Atlantic,65600,46522,1057,57.96,41.1,0.05,113179,Democrat,41.09,133574,141848,48.5,51.5,275422,42099
Bergen,212754,169070,3583,55.2,43.87,0.01,385407,Democrat,41.94,444574,474314,48.38,51.62,918888,69919
Burlington,126377,87401,2158,58.53,40.48,0.03,215936,Democrat,47.84,221948,229388,49.18,50.82,451336,51079
Camden,153682,69476,2270,68.17,30.82,0.03,225428,Democrat,43.9,247813,265726,48.26,51.74,513539,45540
Cumberland,34055,20658,579,61.59,37.36,0.11,55292,Democrat,35.04,81331,76454,51.55,48.45,157785,36551
Essex,236618,64406,1995,78.09,21.25,0.03,303019,Democrat,38.47,378171,409573,48.01,51.99,787744,54879
Gloucester,74013,59456,1734,54.74,43.98,0.04,135203,Democrat,46.69,140656,148930,48.57,51.43,289586,44868
Hudson,153108,42369,2027,77.52,21.45,0.04,197504,Democrat,30.28,326070,326232,49.99,50.01,652302,50033
Mercer,104377,47355,1779,67.99,30.85,0.04,153511,Democrat,41.68,180646,187657,49.05,50.95,368303,55714
Middlesex,190555,107310,3450,63.24,35.61,0.02,301315,Democrat,36.61,405437,417604,49.26,50.74,823041,52108
Passaic,115926,64523,1539,63.7,35.45,0.04,181988,Democrat,36.19,245698,257187,48.86,51.14,502885,44900
Somerset,74592,66603,1726,52.19,46.6,0.04,142921,Democrat,43.61,160298,167409,48.92,51.08,327707,75863
Union,139752,68314,1765,66.6,32.56,0.03,209831,Democrat,38.57,264902,279074,48.7,51.3,543976,53816
Statewide,2125101,1477568,37637,58.38,40.59,1.03,3640306,Democrat,41.07,4326461,4538149,48.81,51.19,8864610,54987
